from,to,direction
G43,G343,-
G43,G1203,-
G43,G568,+
G43,G891,-
G43,G1501,-
G43,G1403,+
G43,G667,-
G43,G1047,+
G43,G1202,-
G43,G1589,-
G43,G688,+
G43,G1223,-
G43,G5,-
G43,G694,-
G43,G1003,-
G43,G203,+
G73,G533,+
G73,G403,+
G73,G1605,+
G73,G1453,+
G73,G458,+
G73,G961,+
G78,G1357,-
G78,G1322,-
G78,G949,-
G78,G238,-
G78,G894,-
G78,G1580,-
G78,G913,-
G78,G924,-
G78,G651,-
G78,G1456,-
G78,G1001,-
G78,G565,-
G78,G1094,-
G78,G1407,-
G78,G619,-
G78,G1526,-
G78,G689,-
G78,G1520,-
G78,G1386,-
G78,G115,-
G78,G119,-
G78,G594,-
G78,G1285,-
G78,G1527,-
G78,G539,-
G78,G588,-
G78,G1336,-
G78,G1068,-
G78,G1011,-
G78,G893,-
G78,G262,-
G78,G385,-
G78,G292,+
G78,G511,-
G78,G520,-
G78,G415,-
G78,G859,-
G78,G1127,-
G78,G83,-
G78,G1333,+
G78,G92,-
G78,G240,+
G78,G1617,+
G78,G1583,+
G78,G1399,+
G78,G676,+
G78,G1364,-
G78,G869,+
G78,G1154,+
G78,G697,+
G78,G447,+
G78,G540,+
G78,G1013,-
G78,G1046,+
G78,G640,-
G78,G1192,-
G78,G258,-
G78,G413,-
G78,G692,-
G78,G1616,-
G78,G558,-
G78,G370,-
G78,G1022,-
G78,G586,-
G78,G1311,-
G78,G513,-
G78,G1213,-
G78,G727,-
G78,G244,-
G78,G1189,-
G78,G1586,-
G78,G629,-
G78,G1062,+
G78,G65,+
G78,G201,-
G78,G476,-
G78,G452,-
G78,G1157,-
G78,G1098,-
G78,G806,-
G78,G768,-
G78,G1294,-
G78,G1540,-
G78,G1559,-
G126,G992,+
G126,G16,+
G126,G923,+
G126,G1206,+
G126,G1466,+
G126,G1618,+
G126,G1397,+
G126,G1266,+
G126,G1306,+
G126,G824,+
G126,G1369,+
G126,G99,+
G126,G129,+
G126,G784,+
G126,G1041,+
G126,G1477,+
G126,G658,+
G126,G1540,+
G126,G1559,+
G126,G1357,+
G126,G1322,+
G126,G949,+
G126,G672,+
G126,G703,+
G126,G1107,+
G126,G1195,+
G126,G1050,+
G126,G931,+
G126,G397,+
G126,G187,+
G99,G1441,+
G99,G824,+
G99,G1369,+
G99,G129,-
G99,G784,-
G99,G1389,+
G99,G1041,-
G99,G1206,-
G99,G1466,-
G99,G1618,-
G99,G1397,-
G99,G126,+
G99,G1534,+
G129,G126,+
G129,G136,+
G129,G1397,+
G129,G1618,+
G129,G1466,-
G129,G1206,+
G129,G752,+
G129,G415,+
G129,G1041,+
G129,G1266,+
G129,G658,+
G129,G1477,+
G129,G1084,+
G129,G1572,+
G129,G1534,+
G129,G1441,+
G129,G1267,+
G129,G824,+
G129,G1369,+
G129,G1129,+
G129,G875,+
G129,G1389,+
G129,G784,+
G129,G99,-
G96,G848,-
G96,G884,-
G96,G495,-
G96,G1481,-
G96,G1240,-
G96,G282,-
G96,G135,-
G96,G675,+
G96,G1116,-
G135,G848,-
G135,G884,-
G135,G495,-
G135,G1481,-
G135,G1116,-
G135,G282,-
G135,G96,-
G135,G1240,-
G135,G675,-
G36,G854,-
G36,G648,-
G36,G1619,-
G36,G790,-
G36,G1149,-
G36,G443,-
G118,G854,-
G118,G648,-
G118,G1619,-
G118,G790,-
G118,G1149,-
G118,G443,-
G82,G1358,+
G82,G811,-
G82,G804,+
G82,G230,-
G19,G1370,+
G19,G310,+
G19,G1273,+
G19,G733,+
G19,G573,+
G19,G480,+
G2,G702,-
G2,G1600,-
G2,G1278,-
G2,G1177,-
G2,G1070,-
G2,G663,-
G2,G1153,-
G2,G1221,-
G2,G1263,-
G22,G376,+
G51,G943,-
G51,G1615,-
G51,G288,-
G51,G856,-
G51,G142,-
G51,G429,-
G51,G1460,-
G51,G607,-
G51,G642,-
G51,G1549,-
G51,G852,-
G51,G335,-
G63,G1159,+
G63,G834,+
G63,G1450,+
G63,G186,+
G63,G1118,+
G63,G1150,+
G186,G1118,-
G186,G1159,-
G186,G834,-
G186,G63,-
G186,G1450,-
G186,G1150,-
G10,G995,+
G10,G1312,+
G10,G299,+
G10,G211,+
G10,G498,+
G159,G119,-
G159,G115,-
G79,G85,-
G85,G79,-
G136,G687,-
G136,G1509,-
G136,G1328,-
G136,G1500,-
G136,G1479,+
G136,G726,+
G136,G1300,-
G136,G1324,+
G136,G932,+
G136,G1473,+
G136,G1499,+
G136,G1092,-
G136,G1206,-
G136,G1466,-
G136,G1618,-
G136,G746,-
G136,G1266,-
G136,G1537,-
G136,G55,-
G136,G884,-
G136,G481,+
G136,G1096,+
G136,G750,+
G136,G560,+
G136,G273,+
G136,G99,-
G136,G129,-
G136,G803,+
G136,G431,-
G136,G1430,-
G136,G658,-
G136,G1114,-
G136,G523,-
G136,G285,-
G136,G1601,-
G136,G773,-
G136,G937,-
G136,G941,-
G136,G1459,-
G136,G651,+
G136,G1497,-
G136,G1511,-
G136,G565,+
G136,G1407,+
G136,G1352,+
G136,G416,-
G136,G1148,+
G136,G1089,+
G136,G1416,-
G136,G903,+
G136,G1298,+
G136,G1112,+
G136,G115,+
G136,G119,+
G136,G703,+
G136,G615,+
G136,G1240,-
G136,G675,-
G136,G282,-
G136,G1261,+
G136,G1028,-
G136,G404,-
G136,G380,-
G136,G858,-
G136,G899,-
G136,G677,-
G136,G134,-
G136,G321,+
G136,G448,+
G136,G1258,-
G136,G934,-
G136,G343,-
G136,G1203,-
G136,G825,-
G136,G1562,-
G136,G906,-
G136,G318,-
G136,G16,-
G136,G656,+
G136,G240,-
G136,G869,-
G136,G1150,+
G136,G1159,+
G136,G834,+
G136,G63,+
G136,G1450,+
G136,G186,+
G136,G188,-
G136,G721,+
G136,G417,-
G136,G1508,-
G136,G882,-
G136,G469,-
G136,G1442,-
G136,G1487,-
G136,G1563,-
G136,G1484,-
G136,G796,-
G136,G270,-
G136,G832,-
G136,G608,-
G136,G1551,-
G136,G1272,-
G136,G1208,-
G136,G1564,-
G136,G425,-
G136,G791,-
G136,G1371,-
G136,G1373,-
G136,G1151,-
G136,G743,-
G136,G621,-
G136,G611,-
G136,G630,-
G136,G1132,-
G136,G399,-
G136,G784,-
G136,G32,-
G136,G1188,+
G136,G857,-
G136,G1394,+
G136,G1119,-
G136,G739,+
G136,G631,+
G136,G339,-
G136,G1353,-
G136,G15,-
G136,G1118,+
G136,G768,+
G136,G242,+
G136,G1349,-
G136,G66,-
G136,G915,-
G136,G933,-
G136,G1086,-
G136,G162,-
G136,G1477,-
G169,G988,-
G49,G1503,-
G49,G978,-
G49,G884,-
G49,G1363,-
G49,G988,-
G49,G282,-
G49,G675,-
G49,G1240,-
G169,G796,+
G169,G1503,-
G169,G1240,-
G169,G675,-
G169,G282,-
G49,G796,+
G169,G1363,-
G169,G884,-
G169,G978,-
G184,G660,+
G184,G1570,+
G184,G1072,+
G184,G1556,+
G184,G1343,+
G184,G350,+
G184,G771,+
G184,G1478,+
G184,G860,+
G184,G1446,+
G184,G1080,+
G103,G1585,-
G103,G203,-
G103,G887,-
G142,G607,-
G142,G856,+
G142,G288,+
G142,G1549,+
G142,G335,+
G142,G642,-
G194,G85,+
G194,G79,+
G194,G907,+
G194,G747,+
G194,G1555,+
G194,G1470,+
G194,G390,+
G194,G1135,+
G194,G317,+
G194,G319,+
G194,G910,+
G194,G377,+
G194,G1145,+
G194,G964,+
G194,G276,+
G194,G914,+
G194,G305,-
G194,G873,-
G194,G1404,-
G194,G988,-
G194,G1519,+
G194,G293,+
G194,G657,+
G194,G1461,+
G194,G1250,+
G194,G766,-
G194,G934,+
G194,G343,-
G194,G1203,+
G194,G1063,-
G194,G1333,-
G194,G122,-
G194,G778,+
G194,G1482,+
G194,G1033,+
G194,G217,+
G194,G1491,+
G194,G255,+
G194,G1506,+
G194,G1220,+
G194,G679,+
G194,G1631,+
G194,G1325,+
G194,G1490,+
G194,G755,+
G194,G1364,-
G194,G869,-
G194,G1154,-
G194,G697,-
G194,G447,-
G194,G540,-
G194,G3,+
G194,G1252,+
G194,G1288,+
G194,G1363,-
G194,G1492,+
G194,G1332,+
G194,G1196,-
G194,G504,+
G194,G1010,-
G194,G664,-
G194,G727,+
G194,G244,+
G194,G1189,+
G194,G1586,+
G194,G629,+
G194,G793,-
G194,G970,+
G194,G480,+
G194,G1273,+
G194,G310,+
G194,G1370,+
G194,G1327,-
G194,G510,+
G194,G828,+
G194,G1536,+
G194,G475,+
G194,G822,+
G194,G278,+
G194,G1405,-
G194,G901,-
G194,G989,-
G194,G712,-
G194,G960,-
G194,G1226,+
G194,G546,-
G194,G1550,-
G194,G1296,-
G194,G1601,-
G194,G1181,+
G194,G563,+
G194,G485,+
G194,G530,-
G194,G926,-
G194,G1581,-
G194,G1076,+
G194,G1194,-
G194,G101,+
G194,G1352,+
G194,G416,+
G194,G1148,+
G194,G1089,+
G194,G903,+
G194,G1298,+
G194,G1112,+
G194,G171,+
G194,G115,-
G194,G119,-
G194,G291,+
G194,G492,+
G194,G977,+
G194,G646,+
G194,G1315,+
G194,G1278,-
G194,G1600,-
G194,G334,+
G194,G1107,+
G194,G1195,+
G194,G1043,+
G194,G141,-
G194,G1421,+
G194,G851,+
G194,G886,-
G194,G394,+
G194,G814,+
G194,G1276,+
G194,G430,+
G194,G481,+
G194,G72,+
G194,G1310,-
G194,G388,-
G194,G723,-
G194,G1044,-
G194,G729,-
G194,G1602,-
G194,G1558,-
G194,G1233,-
G194,G592,-
G194,G363,-
G194,G348,-
G194,G283,-
G194,G613,-
G194,G91,-
G194,G1264,+
G194,G1634,+
G194,G1237,+
G194,G1292,+
G194,G325,+
G194,G1476,+
G194,G1392,+
G194,G323,+
G194,G618,+
G194,G1160,-
G194,G1633,+
G194,G505,-
G194,G1122,-
G194,G1004,-
G194,G1316,-
G194,G872,+
G194,G1131,+
G194,G732,+
G194,G818,+
G194,G573,+
G194,G770,-
G194,G796,-
G194,G733,+
G194,G376,+
G194,G823,+
G194,G556,+
G194,G1123,-
G194,G779,-
G194,G1458,+
G194,G1641,+
G194,G231,+
G194,G1514,+
G194,G1081,+
G194,G1320,+
G194,G1465,+
G194,G620,+
G194,G482,+
G194,G1187,+
G194,G1383,+
G194,G878,+
G141,G1333,-
G141,G122,-
G141,G778,+
G141,G1482,+
G141,G1033,+
G141,G217,+
G141,G1491,+
G141,G255,+
G141,G1506,+
G141,G1220,+
G141,G679,+
G141,G1631,+
G141,G1325,+
G141,G1490,+
G141,G755,+
G141,G1364,-
G141,G869,-
G141,G1154,-
G141,G697,-
G141,G447,-
G141,G540,-
G141,G3,+
G141,G1252,+
G141,G1288,+
G141,G1363,-
G141,G1492,+
G141,G1332,+
G141,G1196,+
G141,G504,+
G141,G1010,-
G141,G664,-
G194,G887,+
G194,G203,+
G194,G1585,+
G194,G1192,+
G194,G950,+
G194,G1642,-
G194,G746,+
G194,G303,-
G194,G1537,+
G194,G758,+
G194,G1306,+
G194,G720,+
G194,G1169,-
G194,G1014,-
G194,G1342,-
G194,G1211,-
G194,G251,-
G194,G772,+
G194,G1301,+
G194,G1155,+
G194,G846,+
G194,G850,-
G194,G775,-
G194,G1230,-
G194,G1057,-
G194,G1283,+
G194,G1229,+
G194,G1064,+
G194,G329,+
G194,G1621,+
G194,G991,-
G194,G799,-
G194,G1375,+
G141,G1296,+
G141,G1601,+
G141,G1181,+
G141,G563,+
G141,G485,+
G141,G530,-
G141,G926,-
G141,G1581,-
G141,G1076,+
G141,G1194,-
G141,G101,+
G141,G1352,+
G141,G416,+
G141,G1148,+
G141,G1089,+
G141,G903,+
G141,G1298,+
G141,G1112,+
G141,G171,+
G141,G115,-
G141,G119,-
G141,G291,+
G141,G492,+
G141,G977,+
G141,G646,+
G141,G1315,+
G141,G1278,-
G141,G1600,-
G141,G334,+
G141,G1107,+
G141,G1195,+
G141,G1043,+
G141,G194,-
G141,G85,+
G141,G79,+
G141,G907,+
G141,G747,+
G141,G1555,+
G141,G1470,+
G141,G390,+
G141,G1135,+
G141,G317,+
G141,G319,+
G141,G910,+
G141,G377,+
G141,G1145,+
G141,G964,+
G141,G276,+
G141,G914,-
G141,G305,-
G141,G873,-
G141,G1404,+
G141,G988,-
G141,G1519,+
G141,G293,+
G141,G657,+
G141,G1461,+
G141,G1250,+
G141,G766,-
G141,G934,+
G141,G343,-
G141,G1203,-
G141,G1063,-
G141,G618,+
G141,G1160,-
G141,G1633,+
G141,G505,+
G141,G1122,-
G141,G1004,-
G141,G1316,-
G141,G872,+
G141,G1131,+
G141,G732,+
G141,G818,+
G141,G573,+
G141,G770,-
G141,G796,-
G141,G733,+
G141,G376,+
G141,G823,-
G141,G556,+
G141,G1123,+
G141,G779,+
G141,G1458,+
G141,G1641,+
G141,G231,+
G141,G1514,+
G141,G1081,+
G141,G1320,+
G141,G1465,+
G141,G620,+
G141,G482,+
G141,G1187,+
G141,G1383,+
G141,G878,+
G141,G727,+
G141,G244,+
G141,G1189,+
G141,G1586,+
G141,G629,+
G141,G793,-
G141,G970,+
G141,G480,+
G141,G1273,+
G141,G310,+
G141,G1370,+
G141,G1327,-
G141,G510,+
G141,G828,+
G141,G1536,+
G141,G475,+
G141,G822,+
G141,G278,+
G141,G1405,-
G141,G901,-
G141,G989,-
G141,G712,-
G141,G960,-
G141,G1226,-
G141,G546,-
G141,G1550,-
G141,G887,+
G141,G203,+
G141,G1585,+
G141,G1192,+
G141,G950,+
G141,G1642,-
G141,G746,+
G141,G303,-
G141,G1537,+
G141,G758,+
G141,G1306,+
G141,G720,+
G141,G1169,-
G141,G1014,-
G141,G1342,-
G141,G1211,-
G141,G251,-
G141,G772,+
G141,G1301,+
G141,G1155,+
G141,G846,+
G141,G850,-
G141,G775,-
G141,G1230,-
G141,G1057,-
G141,G1283,+
G141,G1229,+
G141,G1064,+
G141,G329,+
G141,G1621,+
G141,G991,-
G141,G799,-
G141,G1375,+
G141,G1421,+
G141,G851,+
G141,G886,+
G141,G394,+
G141,G814,+
G141,G1276,+
G141,G430,+
G141,G481,+
G141,G72,+
G141,G1310,-
G141,G388,-
G141,G723,-
G141,G1044,-
G141,G729,-
G141,G1602,-
G141,G1558,-
G141,G1233,-
G141,G592,-
G141,G363,-
G141,G348,-
G141,G283,-
G141,G613,-
G141,G91,-
G141,G1264,+
G141,G1634,+
G141,G1237,+
G141,G1292,+
G141,G325,+
G141,G1476,+
G141,G1392,+
G141,G323,+
G125,G683,+
G144,G550,-
G144,G745,-
G144,G1192,+
G144,G1235,-
G144,G280,-
G144,G490,-
G144,G1236,-
G144,G1428,-
G144,G896,-
G144,G570,-
G144,G1144,-
G144,G744,-
G144,G727,+
G144,G244,+
G144,G1189,+
G144,G1586,+
G144,G629,+
G144,G1435,+
G144,G942,-
G144,G551,-
G144,G429,-
G144,G889,-
G144,G1087,-
G144,G1418,-
G144,G250,-
G54,G943,-
G151,G830,+
G151,G338,+
G151,G1606,+
G151,G761,+
G146,G858,-
G146,G677,-
G146,G899,-
G134,G915,+
G134,G15,+
G134,G933,+
G134,G1086,+
G134,G153,-
G134,G401,+
G134,G999,+
G134,G1025,+
G134,G1542,+
G134,G426,+
G134,G1353,+
G48,G296,-
G48,G306,-
G48,G700,-
G48,G593,-
G48,G355,-
G48,G1488,-
G48,G711,-
G48,G955,-
G48,G835,-
G48,G585,-
G48,G981,-
G48,G398,-
G48,G1120,-
G48,G1361,-
G48,G719,-
G48,G442,-
G48,G847,-
G48,G1251,-
G48,G659,-
G48,G605,-
G48,G1319,-
G48,G1006,-
G48,G462,-
G48,G1317,-
G48,G1099,-
G48,G1016,-
G48,G537,-
G48,G1411,-
G48,G518,-
G48,G202,-
G48,G1529,-
G48,G600,-
G48,G1398,-
G48,G965,-
G48,G698,-
G48,G1576,-
G48,G253,-
G48,G840,-
G48,G1588,-
G48,G1535,-
G48,G888,-
G48,G1178,-
G48,G365,-
G48,G716,-
G48,G1241,-
G48,G1419,-
G48,G1103,-
G48,G1366,-
G48,G1184,-
G48,G1088,-
G48,G972,-
G48,G1391,-
G48,G1553,-
G48,G1557,-
G106,G1396,-
G106,G785,-
G70,G1416,+
G70,G119,-
G70,G115,-
G187,G803,+
G187,G298,-
G187,G1430,-
G187,G882,-
G187,G469,-
G187,G1442,-
G187,G483,-
G187,G1487,-
G187,G1339,-
G187,G1563,-
G187,G1484,-
G187,G796,-
G187,G1599,-
G187,G832,-
G187,G608,-
G187,G1551,-
G187,G759,-
G187,G1272,-
G187,G1208,-
G187,G213,-
G187,G1564,-
G187,G425,-
G187,G791,-
G187,G512,-
G187,G1371,-
G187,G1373,-
G187,G1408,-
G187,G1151,-
G187,G743,-
G187,G621,-
G187,G382,-
G187,G611,-
G187,G630,-
G187,G1132,-
G187,G399,-
G187,G631,+
G187,G1226,-
G187,G644,-
G187,G1457,+
G187,G1352,+
G187,G1148,+
G187,G1089,+
G187,G1416,+
G187,G903,+
G187,G1298,+
G187,G1112,+
G187,G615,+
G187,G1358,+
G187,G1107,+
G187,G1195,+
G187,G914,-
G187,G305,-
G187,G873,-
G187,G404,+
G187,G380,+
G187,G1404,-
G187,G263,+
G187,G734,-
G187,G1254,-
G187,G967,-
G187,G1036,-
G187,G737,-
G187,G922,-
G187,G216,-
G187,G58,+
G187,G1063,-
G187,G1333,+
G187,G1561,-
G187,G391,-
G187,G982,-
G187,G1029,-
G187,G1048,-
G187,G825,-
G187,G925,-
G187,G1566,-
G187,G686,+
G187,G1323,+
G187,G707,+
G187,G1196,-
G187,G1324,+
G187,G932,+
G187,G1642,-
G187,G1206,-
G187,G1466,-
G187,G1618,-
G187,G362,-
G187,G670,+
G187,G811,+
G187,G1306,+
G187,G55,+
G187,G230,+
G187,G762,-
G187,G481,+
G187,G72,+
G187,G1578,+
G164,G715,-
G164,G1613,-
G164,G862,-
G164,G789,-
G164,G929,-
G164,G678,-
G164,G1035,-
G164,G1198,-
G17,G237,+
G189,G1545,-
G189,G880,-
G58,G366,+
G58,G1577,+
G58,G1111,+
G58,G714,+
G58,G359,+
G58,G256,+
G58,G898,+
G58,G467,+
G58,G1423,+
G58,G1165,+
G165,G1265,+
G165,G1171,+
G165,G983,+
G165,G514,+
G165,G796,+
G165,G1441,-
G165,G1534,-
G165,G842,+
G165,G1297,+
G165,G951,+
G165,G179,+
G165,G422,+
G165,G1212,+
G165,G1204,+
G165,G1618,-
G165,G1466,-
G165,G1206,-
G165,G37,-
G165,G636,+
G165,G975,+
G165,G767,+
G165,G248,+
G165,G433,+
G165,G992,-
G165,G25,+
G165,G1364,+
G165,G302,+
G165,G264,+
G165,G1019,+
G165,G956,+
G179,G165,-
G179,G951,-
G113,G1522,-
G113,G300,-
G83,G247,-
G83,G819,-
G83,G774,-
G83,G68,-
G83,G705,-
G83,G553,-
G83,G1214,-
G83,G633,-
G83,G1454,-
G83,G885,-
G83,G1627,-
G83,G976,-
G83,G1271,-
G83,G591,-
G83,G909,-
G68,G1269,+
G68,G511,+
G68,G909,+
G68,G1127,+
G68,G976,+
G45,G1139,+
G45,G1592,+
G45,G1591,+
G45,G730,+
G45,G457,+
G45,G740,+
G107,G1623,-
G107,G559,-
G21,G476,-
G11,G1554,-
G11,G970,+
G11,G1222,-
G11,G684,-
G11,G706,-
G11,G1533,-
G11,G530,-
G11,G926,-
G11,G1581,-
G11,G907,+
G11,G747,+
G11,G1555,+
G11,G1470,+
G11,G390,+
G11,G1135,+
G11,G317,+
G11,G319,+
G11,G176,+
G11,G1227,+
G11,G1561,-
G11,G391,-
G11,G982,-
G11,G1029,-
G11,G1048,-
G11,G315,+
G11,G829,+
G11,G699,+
G11,G1629,+
G11,G438,+
G11,G1505,+
G11,G1238,+
G11,G997,+
G11,G867,+
G11,G952,+
G11,G1055,+
G11,G465,+
G11,G1235,+
G11,G280,+
G11,G490,+
G11,G1236,+
G11,G1428,+
G11,G896,+
G11,G1144,+
G11,G1009,+
G11,G643,-
G11,G1023,-
G155,G351,-
G155,G842,-
G155,G1297,-
G155,G352,-
G173,G102,-
G102,G173,-
G5,G235,-
G5,G820,-
G93,G1143,-
G93,G1637,-
G35,G90,-
G35,G227,-
G35,G564,-
G35,G1107,-
G35,G1195,-
G35,G1566,-
G35,G816,-
G35,G502,+
G35,G1607,+
G35,G1324,+
G35,G932,+
G35,G1306,-
G35,G795,+
G35,G615,+
G149,G1338,-
G149,G776,-
G149,G1335,-
G149,G876,-
G88,G1225,-
G88,G509,-
G88,G1415,-
G88,G80,-
G88,G507,-
G88,G416,+
G88,G639,+
G88,G603,-
G88,G794,-
G88,G944,-
G88,G948,-
G88,G1351,-
G88,G1571,-
G88,G1182,-
G88,G1126,+
G88,G848,-
G88,G1507,-
G88,G1108,-
G88,G434,-
G123,G516,-
G123,G724,-
G123,G1108,-
G123,G971,-
G123,G416,+
G123,G1630,-
G123,G1547,-
G123,G509,-
G176,G464,-
G176,G503,-
G176,G895,-
G176,G1548,-
G176,G292,-
G176,G889,-
G176,G1087,-
G176,G1418,-
G176,G250,-
G176,G550,-
G176,G745,-
G176,G1519,+
G176,G293,+
G176,G657,+
G176,G1461,+
G176,G1250,+
G176,G934,+
G176,G343,+
G176,G1203,+
G176,G940,+
G176,G778,-
G176,G1275,-
G176,G695,+
G176,G782,+
G176,G261,+
G176,G1332,-
G176,G1010,-
G176,G664,-
G176,G331,+
G176,G139,-
G176,G850,+
G176,G775,+
G176,G1230,-
G176,G1417,-
G176,G515,-
G176,G367,-
G176,G423,-
G176,G1059,-
G176,G1232,-
G176,G1215,-
G176,G1346,-
G176,G1362,-
G176,G1375,-
G176,G1421,+
G176,G851,+
G176,G886,-
G176,G394,+
G176,G814,+
G176,G1505,-
G176,G1238,-
G176,G997,-
G176,G867,-
G176,G952,-
G176,G1055,-
G176,G465,-
G176,G1235,-
G176,G280,-
G176,G490,-
G176,G1236,-
G176,G1428,-
G176,G896,-
G176,G1368,-
G176,G1469,-
G176,G1614,-
G176,G1390,-
G176,G736,-
G176,G1310,+
G176,G388,+
G176,G723,+
G176,G1044,+
G176,G729,+
G176,G1602,+
G176,G1558,+
G176,G1233,+
G176,G592,+
G176,G363,+
G176,G348,+
G176,G1144,-
G176,G1009,-
G176,G1595,-
G176,G505,-
G176,G32,-
G176,G1104,+
G176,G599,+
G176,G1172,-
G176,G616,-
G176,G1330,-
G176,G1326,-
G176,G418,-
G176,G369,-
G176,G1626,-
G176,G473,-
G176,G372,-
G176,G1284,-
G176,G685,-
G176,G1248,+
G176,G1510,+
G176,G793,-
G176,G760,-
G176,G150,-
G176,G228,-
G176,G1078,+
G176,G1516,-
G176,G1282,+
G176,G644,-
G176,G1414,-
G176,G1402,+
G176,G1117,+
G176,G1601,+
G176,G530,-
G176,G926,-
G176,G1581,-
G176,G1485,-
G160,G782,-
G160,G261,-
G160,G1230,+
G160,G1375,+
G160,G1421,+
G160,G851,+
G160,G886,+
G160,G394,+
G160,G814,+
G160,G1505,+
G160,G1238,-
G160,G997,+
G160,G867,+
G160,G952,+
G160,G1055,-
G160,G465,-
G160,G1235,+
G160,G280,-
G160,G490,+
G160,G1236,+
G160,G1428,-
G160,G896,+
G160,G1144,+
G160,G1009,+
G160,G505,-
G160,G1104,+
G160,G599,+
G160,G369,-
G160,G1626,-
G160,G473,-
G160,G372,-
G160,G1284,-
G160,G685,-
G160,G1248,+
G160,G1510,+
G160,G793,-
G160,G1078,+
G160,G1601,+
G160,G1485,+
G160,G889,-
G160,G1087,-
G160,G1418,-
G160,G250,-
G160,G550,-
G160,G745,-
G160,G934,+
G160,G343,+
G160,G1203,+
G160,G695,-
G14,G1598,-
G188,G874,+
G188,G1382,+
G188,G1258,+
G188,G938,+
G188,G1489,+
G188,G825,+
G139,G1368,-
G139,G736,-
G139,G1614,-
G139,G1390,-
G139,G1469,-
G178,G793,+
G178,G505,+
G59,G1517,-
G59,G294,-
G59,G1381,-
G59,G713,-
G59,G1022,-
G59,G452,-
G59,G1157,-
G59,G370,-
G110,G1449,-
G110,G411,-
G110,G654,-
G110,G277,-
G110,G1473,-
G110,G1499,-
G110,G567,-
G110,G1083,-
G110,G1192,-
G110,G1495,-
G110,G197,-
G110,G1388,-
G110,G1280,-
G110,G1021,-
G110,G781,-
G110,G379,-
G110,G218,-
G110,G1329,-
G110,G969,-
G110,G1230,-
G110,G753,-
G110,G1242,-
G110,G1375,-
G110,G1421,-
G110,G851,-
G110,G886,-
G110,G394,-
G110,G814,-
G110,G178,-
G110,G918,-
G110,G108,-
G110,G959,-
G110,G229,-
G110,G1104,-
G110,G599,-
G110,G181,-
G110,G1532,-
G110,G727,-
G110,G244,-
G110,G1189,-
G110,G1586,-
G110,G629,-
G110,G566,-
G110,G1248,-
G110,G1510,-
G110,G1394,-
G110,G970,-
G110,G527,-
G110,G1078,-
G110,G1445,-
G110,G1158,-
G110,G337,-
G110,G506,-
G110,G332,-
G110,G101,-
G110,G141,-
G110,G511,-
G110,G907,-
G110,G747,-
G110,G1555,-
G110,G1470,-
G110,G390,-
G110,G1135,-
G110,G317,-
G110,G319,-
G110,G910,-
G110,G377,-
G110,G1145,-
G110,G964,-
G110,G276,-
G110,G1313,-
G110,G187,-
G110,G766,-
G110,G1074,-
G110,G1632,-
G110,G632,-
G110,G1624,-
G110,G877,-
G110,G869,-
G110,G1625,-
G110,G682,-
G110,G421,-
G110,G1193,-
G13,G242,+
G13,G1327,+
G13,G722,+
G13,G977,-
G13,G1544,-
G13,G646,+
G13,G1315,+
G13,G1261,+
G13,G1528,+
G13,G805,+
G13,G655,+
G13,G1643,+
G13,G1572,+
G13,G1096,+
G13,G750,+
G13,G1267,+
G13,G243,+
G13,G584,+
G13,G1374,+
G13,G491,+
G13,G371,+
G13,G1350,+
G13,G212,+
G13,G645,+
G13,G833,+
G13,G410,+
G13,G1289,+
G13,G1590,+
G13,G387,+
G13,G870,+
G13,G1464,+
G13,G749,+
G13,G405,+
G13,G459,+
G13,G1124,+
G13,G1444,+
G13,G1367,+
G13,G1610,+
G13,G1356,+
G13,G674,+
G13,G23,+
G13,G35,+
G13,G301,+
G122,G109,+
G122,G1113,+
G122,G445,+
G122,G1281,+
G122,G1217,-
G122,G1582,+
G122,G1191,+
G122,G796,+
G122,G758,-
G122,G1333,-
G122,G1063,+
G122,G119,-
G122,G115,-
G122,G1640,-
G122,G162,-
G122,G316,+
G12,G629,+
G12,G1243,-
G12,G476,+
G12,G806,-
G12,G837,+
G12,G1586,+
G12,G1189,+
G12,G244,+
G12,G727,+
G12,G461,+
G12,G1205,+
G12,G717,+
G12,G746,+
G12,G633,+
G12,G1214,+
G12,G1192,+
G12,G859,+
G12,G681,+
G12,G497,+
G12,G78,+
G12,G320,+
G138,G1458,-
G138,G1641,-
G138,G231,-
G138,G1514,-
G138,G1081,-
G138,G878,-
G138,G1465,-
G138,G620,-
G138,G482,-
G138,G1187,-
G138,G1383,-
G138,G1320,-
G156,G337,-
G156,G312,-
G156,G1540,-
G156,G1559,-
G156,G1357,-
G156,G1322,-
G156,G949,-
G156,G594,+
G156,G1285,+
G156,G1527,+
G156,G539,+
G156,G588,+
G156,G1524,-
G156,G1573,-
G156,G808,-
G156,G766,-
G156,G254,-
G156,G506,-
G94,G1550,-
G94,G1296,-
G44,G519,+
G44,G857,+
G44,G161,+
G44,G1493,+
G44,G208,+
G44,G650,+
G44,G393,+
G44,G486,+
G44,G314,+
G44,G1015,+
G44,G617,+
G44,G1290,+
G44,G384,+
G44,G868,+
G44,G368,+
G44,G575,+
G44,G328,+
G44,G1512,+
G44,G638,+
G44,G1482,+
G44,G1033,+
G44,G1631,+
G44,G1325,+
G44,G1490,+
G44,G1569,+
G44,G1393,+
G44,G1045,+
G44,G954,+
G44,G1480,-
G44,G597,+
