#Experiment,Perturbations,PerturbationLevels,Treatment,DeletedGenes,OverexpressedGenes,Time,Repeat
93,NA,NA,NA,NA,NA,NA,2
93,NA,NA,NA,NA,NA,NA,3
93,NA,NA,NA,G10,NA,NA,1
93,NA,NA,NA,G10,NA,NA,2
93,NA,NA,NA,G10,NA,NA,3
94,NA,NA,NA,G48,NA,NA,1
94,NA,NA,NA,G48,NA,NA,2
94,NA,NA,NA,G48,NA,NA,3
94,NA,NA,NA,"G48,G173,G149",NA,NA,1
94,NA,NA,NA,"G48,G173,G149",NA,NA,2
94,NA,NA,NA,"G48,G173,G149",NA,NA,3
95,NA,NA,NA,NA,NA,NA,1
95,NA,NA,NA,NA,NA,NA,2
95,NA,NA,NA,NA,NA,NA,3
95,NA,NA,NA,G164,NA,NA,1
95,NA,NA,NA,NA,G164,NA,1
95,NA,NA,NA,G162,G164,NA,1
95,NA,NA,NA,G10,G164,NA,1
96,NA,NA,NA,NA,NA,NA,1
96,NA,NA,NA,NA,NA,NA,2
96,NA,NA,NA,NA,NA,NA,3
96,NA,NA,NA,G10,NA,NA,1
96,NA,NA,NA,G10,NA,NA,2
96,NA,NA,NA,G10,NA,NA,3
97,NA,NA,NA,NA,NA,45,1
97,NA,NA,NA,NA,NA,45,2
97,NA,NA,NA,NA,NA,45,3
97,NA,NA,NA,NA,NA,67,1
97,NA,NA,NA,NA,NA,67,2
97,NA,NA,NA,NA,NA,165,1
97,NA,NA,NA,NA,NA,165,2
97,NA,NA,NA,NA,NA,240,1
97,NA,NA,NA,NA,NA,240,2
97,NA,NA,NA,NA,NA,360,1
97,NA,NA,NA,NA,NA,360,2
97,NA,NA,NA,G189,NA,0,1
97,NA,NA,NA,G189,NA,0,2
97,NA,NA,NA,G189,NA,0,3
97,NA,NA,NA,G189,NA,120,1
97,NA,NA,NA,G189,NA,120,2
97,NA,NA,NA,G189,NA,240,1
98,NA,NA,NA,NA,NA,90,1
98,NA,NA,NA,NA,NA,90,2
98,NA,NA,NA,NA,NA,90,3
98,NA,NA,NA,NA,NA,150,1
98,NA,NA,NA,NA,NA,150,2
98,NA,NA,NA,NA,NA,150,3
98,NA,NA,NA,NA,NA,240,1
98,NA,NA,NA,NA,NA,240,2
98,NA,NA,NA,NA,NA,240,3
98,NA,NA,NA,NA,NA,360,1
98,NA,NA,NA,NA,NA,360,2
98,NA,NA,NA,NA,NA,360,3
98,NA,NA,NA,G171,NA,90,1
98,NA,NA,NA,G171,NA,90,2
98,NA,NA,NA,G171,NA,90,3
98,NA,NA,NA,G171,NA,150,1
98,NA,NA,NA,G171,NA,150,2
98,NA,NA,NA,G171,NA,150,3
98,NA,NA,NA,G171,NA,240,1
98,NA,NA,NA,G171,NA,240,2
98,NA,NA,NA,G171,NA,240,3
98,NA,NA,NA,G171,NA,360,1
98,NA,NA,NA,G171,NA,360,2
98,NA,NA,NA,G171,NA,360,3
99,NA,NA,NA,NA,NA,80,1
99,NA,NA,NA,NA,NA,300,1
99,NA,NA,NA,NA,NA,480,1
99,NA,NA,NA,G21,NA,80,1
99,NA,NA,NA,G21,NA,300,1
99,NA,NA,NA,G21,NA,480,1
100,NA,NA,NA,NA,NA,NA,1
100,NA,NA,NA,NA,NA,NA,2
100,NA,NA,NA,NA,NA,NA,3
100,P32,NA,NA,NA,NA,NA,1
100,P32,NA,NA,NA,NA,NA,2
100,P32,NA,NA,NA,NA,NA,3
100,NA,NA,NA,G176,NA,NA,1
100,NA,NA,NA,G176,NA,NA,2
100,NA,NA,NA,G176,NA,NA,3
100,P32,NA,NA,G176,NA,NA,1
100,P32,NA,NA,G176,NA,NA,2
100,P32,NA,NA,G176,NA,NA,3
101,NA,NA,NA,NA,NA,NA,1
101,NA,NA,NA,NA,NA,NA,2
101,P12,0.1,NA,NA,NA,NA,1
101,P12,0.1,NA,NA,NA,NA,2
101,P12,0.2,NA,NA,NA,NA,1
101,P12,0.2,NA,NA,NA,NA,2
101,P12,0.3,NA,NA,NA,NA,1
101,P12,0.3,NA,NA,NA,NA,2
101,P12,0.4,NA,NA,NA,NA,1
101,P12,0.4,NA,NA,NA,NA,2
101,NA,NA,NA,G1,NA,NA,1
101,NA,NA,NA,G1,NA,NA,2
101,P12,0.2,NA,G1,NA,NA,1
101,P12,0.2,NA,G1,NA,NA,2
101,P12,0.4,NA,G1,NA,NA,1
101,P12,0.4,NA,G1,NA,NA,2
102,NA,NA,NA,NA,NA,NA,1
102,P33,NA,NA,G150,NA,NA,1
102,P33,NA,NA,G47,NA,NA,1
102,P34,NA,NA,G47,NA,NA,1
102,P34,NA,NA,G47,NA,NA,2
103,NA,NA,NA,NA,NA,NA,1
103,NA,NA,NA,NA,NA,NA,2
103,NA,NA,NA,NA,NA,NA,3
103,P35,NA,NA,NA,NA,NA,1
103,P35,NA,NA,NA,NA,NA,2
103,P35,NA,NA,NA,NA,NA,3
103,NA,NA,NA,G169,NA,NA,1
103,NA,NA,NA,G169,NA,NA,2
103,NA,NA,NA,G169,NA,NA,3
103,P35,NA,NA,G169,NA,NA,1
103,P35,NA,NA,G169,NA,NA,2
103,P35,NA,NA,G169,NA,NA,3
104,NA,NA,NA,NA,NA,NA,1
104,P33,NA,NA,G39,NA,NA,1
104,P34,NA,NA,G39,NA,NA,1
105,NA,NA,NA,NA,NA,0,1
105,NA,NA,NA,NA,NA,60,1
105,NA,NA,NA,NA,NA,120,1
105,NA,NA,NA,NA,NA,240,1
105,NA,NA,NA,NA,NA,360,1
105,P12,1,NA,NA,NA,0,1
105,P12,1,NA,NA,NA,60,1
105,P12,1,NA,NA,NA,120,1
105,P12,1,NA,NA,NA,240,1
105,P12,1,NA,NA,NA,360,1
105,NA,NA,NA,G1,NA,0,1
105,NA,NA,NA,G1,NA,60,1
105,NA,NA,NA,G1,NA,120,1
105,NA,NA,NA,G1,NA,240,1
105,NA,NA,NA,G1,NA,360,1
105,P11,NA,NA,NA,NA,0,1
105,P11,NA,NA,NA,NA,60,1
105,P11,NA,NA,NA,NA,120,1
105,P11,NA,NA,NA,NA,240,1
105,P11,NA,NA,NA,NA,360,1
105,P12,1,NA,G1,NA,0,1
105,P12,1,NA,G1,NA,60,1
105,P12,1,NA,G1,NA,120,1
105,P12,1,NA,G1,NA,240,1
105,P12,1,NA,G1,NA,360,1
105,P11,NA,NA,G1,NA,0,1
105,P11,NA,NA,G1,NA,60,1
105,P11,NA,NA,G1,NA,120,1
105,P11,NA,NA,G1,NA,240,1
105,P11,NA,NA,G1,NA,360,1
106,NA,NA,NA,NA,G43,0,1
106,NA,NA,NA,NA,G43,60,1
106,NA,NA,NA,NA,G43,120,1
106,NA,NA,NA,NA,G43,180,1
106,P11,NA,NA,NA,NA,0,1
106,P11,NA,NA,NA,NA,0,2
106,P11,NA,NA,NA,NA,60,1
106,P11,NA,NA,NA,NA,60,2
106,P11,NA,NA,NA,NA,120,1
106,P11,NA,NA,NA,NA,120,2
106,P11,NA,NA,NA,NA,180,1
106,P11,NA,NA,NA,NA,180,2
107,NA,NA,NA,NA,NA,0,1
107,P36,NA,NA,NA,NA,40,1
107,P36,NA,NA,NA,NA,240,1
107,P37,NA,NA,NA,NA,40,1
107,P37,NA,NA,NA,NA,240,1
107,NA,NA,NA,G164,NA,0,1
107,P37,NA,NA,G164,NA,40,1
107,P37,NA,NA,G164,NA,240,1
107,P36,NA,NA,G164,NA,40,1
107,P36,NA,NA,G164,NA,240,1
